isin,ticker,yahoo_symbol,status
LU1686832277,DFOB,DFOB.DE,suffix
IE00BNGFMY78,FEPX,FEPX.DE,suffix
IE00BL58LJ19,XZBU,XZBU.DE,suffix
IE00BYVZV757,JE13,JE13.DE,suffix
IE0002SCQ8X0,CEB3,CEB3.DE,suffix
IE00B95PGT31,VJPN,VJPN.DE,suffix
IE00B469F816,SPYM,SPYM.DE,suffix
LU0136242590,UIM3,UIM3.DE,suffix
IE0001T0BHM5,FTUI,FTUI.DE,suffix
LU0290357176,X57E,X57E.DE,suffix
LU1377382103,QUEU,QUEU.DE,suffix
IE000B9PQW54,CURE,CURE.DE,suffix
IE00BVGC6645,NS4E,NS4E.DE,suffix
IE0001JH5CB4,XEPA,XEPA.DE,suffix
LU1852211991,MDBE,MDBE.DE,suffix
IE000N6I8IU2,JEQA,JEQA.DE,suffix
IE000O8KMPM1,WRNA,WRNA.DE,suffix
IE00BF4NQ904,H41K,H41K.DE,suffix
BGGRASE06174,GRX,GRX.DE,suffix
IE000K975W13,AVEM,AVEM.DE,suffix
