isin,ticker,yahoo_symbol,status
IE00BFMNHK08,XZEU,XZEU.DE,suffix
IE000EBFYWX3,KROP,KROP.DE,suffix
IE00BMCZLJ20,UEEH,UEEH.DE,suffix
LU1574142243,STXH,STXH.DE,suffix
LU2504532131,XTIP,XTIP.DE,suffix
IE000B5UZSG9,FJPI,FJPI.DE,suffix
IE00BN4Q0370,AW10,AW10.DE,suffix
LU3281687825,CCNC,CCNC.DE,suffix
IE0003NQ0IY5,XWEQ,XWEQ.DE,suffix
IE000GE4QIR1,TRXL,TRXL.DE,suffix
LU3206583067,C002,C002.DE,suffix
IE000EPIJ442,BCFR,GLDSL.SW,isin_search
LU0494592974,XCS2,XCS2.DE,suffix
IE000PEAJOT0,SADU,SADU.DE,suffix
DE000A0H08L5,EXH6,EXH6.DE,suffix
IE00BLF7VX27,SPPU,SPPU.DE,suffix
LU1931974775,PR1J,PR1J.DE,suffix
IE00BD4DXB77,XQUE,XQUE.DE,suffix
LU2932780914,EPAZ,EPAZ.DE,suffix
IE00BHXMHQ65,S5SG,S5SG.DE,suffix
IE0008M1R3N4,USMC,USMC.DE,suffix
IE00097WZHZ9,FTSS,FTSS.DE,suffix
IE000QYDXKV5,TDVX,TDVX.DE,suffix
IE00BDZVH966,IBC5,IBC5.DE,suffix
IE000SE6KPV2,IPAB,IPAB.DE,suffix
LU2089238898,PRAR,PRAR.DE,suffix
IE00B60SX394,SC0J,SC0J.DE,suffix
IE000IR2DEM6,DFCU,,no_data
LU1753045928,JSRI,JSRI.DE,suffix
IE00BGL86Z12,IEVD,IEVD.DE,suffix
IE00BJ38QD84,ZPRR,ZPRR.DE,suffix
LU0274209740,DBXJ,DBXJ.DE,suffix
LU2809864452,XB32,XB32.DE,suffix
IE00BPRCH686,SMLN,SMLN.DE,suffix
IE000N7LUK04,QQCC,QQCC.DE,suffix
LU1737653631,10AK,10AK.DE,suffix
IE000M86QRT4,MWOQ,MWOQ.DE,suffix
IE000RHYOR04,ERNX,ERNX.DE,suffix
IE00BGJWWV33,EIB5,EIB5.DE,suffix
IE00BCHWNW54,XUHC,XUHC.DE,suffix
IE00BFXR5T61,ETLR,ETLR.DE,suffix
IE00BYXVGY31,FUSA,FUSA.DE,suffix
IE00BKM4H197,CEMG,CEMG.DE,suffix
IE000QUOSE01,V3DA,V3DA.DE,suffix
IE00BYX8XD24,IS31,IS31.DE,suffix
IE000PY7F8J9,RIZJ,RIZJ.DE,suffix
IE000BO2Y0T8,XMN1,XMN1.DE,suffix
IE000A9QKUV7,JGLP,JGLP.L,suffix
IE00BZ163K21,VUCP,VUCP.DE,suffix
LU1650489385,LYQ6,LYQ6.DE,suffix
IE0006OIQXE9,FFGH,FFGH.DE,suffix
IE0009W21NT4,CSY7,CSY7.DE,suffix
FR0010930644,AMEE,AMEE.DE,suffix
DE000A2QP4C4,EXIF,EXIF.DE,suffix
IE000T4LTZ00,JREW,JREW.DE,suffix
IE00BFNM3L97,SGAJ,SGAJ.DE,suffix
IE00004S2680,VEGF,VEGF.DE,suffix
LU1681043599,AMEW,AMEW.DE,suffix
FR0014015ZN2,MD4C,MD4C.DE,suffix
